framework,run,rps,iterations,p50_ms,p95_ms,p99_ms,err_pct,achieved_rps,srv_p50_ms,srv_p95_ms,cpu_avg_cores,cpu_max_cores,mem_avg_mib,mem_max_mib,pod,k6_exit
actix,1,100,300000,5.20,5.47,5.67,0.00,100.0,5.00,5.00,0.5105,0.5237,8.6807,9.5234,actix-perf-6d7448dcfb-44drk,0
actix,2,100,300000,5.20,5.48,5.71,0.00,100.0,5.00,5.00,0.5065,0.5249,8.2845,9.7305,actix-perf-6d7448dcfb-gksx6,0
actix,3,100,300000,5.20,5.50,5.72,0.00,100.0,5.00,5.00,0.5120,0.5248,8.9872,9.8750,actix-perf-6d7448dcfb-7ssh9,0
ktor,1,100,300000,5.08,841.24,1876.24,0.00,99.8,5.00,5.00,0.5010,0.5382,171.0332,177.6484,ktor-perf-74b4c78c44-vf94d,0
ktor,2,100,300000,5.04,1645.42,2275.86,46.71,99.9,5.00,5.00,0.3735,0.5455,136.7287,165.8516,ktor-perf-74b4c78c44-cj9bn,99
ktor,3,100,300000,5.09,413.70,1193.84,0.00,99.8,5.00,5.00,0.5014,0.5339,164.3786,172.1172,ktor-perf-74b4c78c44-r6qfc,0
quarkus-jvm,1,100,300000,4.98,5.24,5.35,0.00,100.0,5.00,5.00,0.2317,0.2559,NaN,NaN,quarkus-perf-jvm-f75b96c96-lbgvn,0
quarkus-jvm,2,100,300000,5.07,5.29,5.39,0.00,100.0,5.00,5.00,0.4936,0.5230,125.9694,126.9219,quarkus-perf-jvm-84dbb885f-5kgj4,0
quarkus-jvm,3,100,300000,5.02,5.26,5.34,0.00,100.0,5.00,5.00,0.4930,0.5225,123.4157,124.7852,quarkus-perf-jvm-84dbb885f-wjf8w,0
quarkus-native,1,100,300000,5.53,5.76,5.91,0.00,100.0,5.00,6.00,0.5206,0.5432,64.8740,65.6953,quarkus-perf-native-844955b8c9-zfx72,0
quarkus-native,2,100,300000,5.56,5.82,6.38,0.00,100.0,5.00,6.00,0.5249,0.5458,63.2197,65.2344,quarkus-perf-native-844955b8c9-6bwlx,0
quarkus-native,3,100,300000,5.55,5.85,6.33,0.00,100.0,5.00,6.00,0.5325,0.5436,62.0576,63.4805,quarkus-perf-native-844955b8c9-26dzr,0
quarkus-reactive-jvm,1,100,300000,5.13,6.24,7.94,0.00,100.0,5.00,5.00,0.4965,0.5263,119.5515,121.1016,quarkus-reactive-perf-jvm-7db876dd75-phxjv,0
quarkus-reactive-jvm,2,100,300000,5.14,5.35,5.51,0.00,100.0,5.00,5.00,0.4995,0.5336,128.9499,130.1055,quarkus-reactive-perf-jvm-7db876dd75-r79c8,0
quarkus-reactive-jvm,3,100,300000,5.09,5.30,5.42,0.00,100.0,5.00,5.00,0.4937,0.5213,122.5879,123.5820,quarkus-reactive-perf-jvm-7db876dd75-xz2hw,0
quarkus-reactive-native,1,100,300000,5.54,5.78,5.90,0.00,100.0,5.00,6.00,0.5299,0.5406,62.4215,63.0859,quarkus-reactive-perf-native-78d945cbbc-lqngq,0
