framework,run,rps,p50_ms,p95_ms,p99_ms,err_pct,achieved_rps,cpu_avg_cores,cpu_max_cores,mem_avg_mib,mem_max_mib,pod,k6_exit
actix,1,100,0.64,0.80,0.88,0.00,100.0,0.0152,0.0165,10.0599,11.2578,actix-perf-798cc85858-hcl42,0
actix,2,100,0.62,0.78,0.86,0.00,100.0,0.0145,0.0153,9.9044,10.9531,actix-perf-798cc85858-rfszq,0
actix,3,100,0.63,0.79,0.88,0.00,100.0,0.0144,0.0150,9.6494,10.6914,actix-perf-798cc85858-c77df,0
ktor,1,100,0.45,0.56,0.66,0.00,100.0,0.0392,0.0875,176.0398,182.0117,ktor-perf-799b7767dd-nnwl5,0
ktor,2,100,0.45,0.55,0.64,0.00,100.0,0.0396,0.0950,173.5838,179.4336,ktor-perf-799b7767dd-drn8n,0
ktor,3,100,0.45,0.56,0.68,0.00,100.0,0.0394,0.0848,175.5882,182.1016,ktor-perf-799b7767dd-nggl2,0
quarkus-jvm,1,100,0.40,0.50,0.65,0.00,100.0,0.0275,0.0751,148.9801,150.4023,quarkus-perf-jvm-84dbb885f-5zvhd,0
quarkus-jvm,2,100,0.40,0.50,0.64,0.00,100.0,0.0273,0.0791,152.7326,154.5234,quarkus-perf-jvm-84dbb885f-l72pb,0
quarkus-jvm,3,100,0.41,0.51,0.71,0.00,100.0,0.0252,0.0747,150.3363,152.1523,quarkus-perf-jvm-84dbb885f-qfvpl,0
quarkus-native,1,100,0.47,0.58,0.68,0.00,100.0,0.0182,0.0186,56.3612,62.3984,quarkus-perf-native-7d7d4b66c9-78mhj,0
quarkus-native,2,100,0.46,0.61,0.86,0.00,100.0,0.0181,0.0195,57.0964,62.4609,quarkus-perf-native-7d7d4b66c9-ccjxt,0
quarkus-native,3,100,0.42,0.56,0.89,0.00,100.0,0.0191,0.0205,59.3102,63.8789,quarkus-perf-native-7d7d4b66c9-p7gfk,0
quarkus-reactive-jvm,1,100,0.63,0.79,1.08,0.00,100.0,0.0272,0.0699,139.4592,144.0781,quarkus-reactive-perf-jvm-6d798f48b7-gtg29,0
quarkus-reactive-jvm,2,100,0.64,0.87,1.19,0.00,100.0,0.0280,0.0705,137.7596,140.1953,quarkus-reactive-perf-jvm-6d798f48b7-gz8bd,0
quarkus-reactive-jvm,3,100,0.63,0.80,1.08,0.00,100.0,0.0273,0.0820,137.5573,144.7148,quarkus-reactive-perf-jvm-6d798f48b7-65kh5,0
quarkus-reactive-native,1,100,0.70,0.90,1.13,0.00,100.0,0.0215,0.0222,54.4307,64.3594,quarkus-reactive-perf-native-856b76f5d7-tbfdf,0
quarkus-reactive-native,2,100,0.69,0.87,1.10,0.00,100.0,0.0210,0.0221,53.9251,63.6992,quarkus-reactive-perf-native-856b76f5d7-cktrp,0
quarkus-reactive-native,3,100,0.68,0.96,1.28,0.00,100.0,0.0217,0.0233,53.5234,62.1133,quarkus-reactive-perf-native-856b76f5d7-jkqfq,0
spring,1,100,0.46,0.59,0.68,0.00,100.0,0.0401,0.0994,220.2783,224.2617,spring-perf-6957cd5b4d-hnnvl,0
spring,2,100,0.46,0.58,0.67,0.00,100.0,0.0383,0.0888,222.4155,223.5859,spring-perf-6957cd5b4d-cdp8q,0
spring,3,100,0.46,0.58,0.68,0.00,100.0,0.0384,0.0914,219.6526,221.0586,spring-perf-6957cd5b4d-vcm9d,0
spring-reactor,1,100,0.51,0.63,0.81,0.00,100.0,0.0493,0.1335,242.7610,244.3711,spring-reactor-perf-7697f96cbc-wcxm8,0
spring-reactor,2,100,0.51,0.64,0.91,0.00,100.0,0.0474,0.1688,241.1382,243.6406,spring-reactor-perf-7697f96cbc-g2jtn,0
spring-reactor,3,100,0.51,0.65,0.92,0.00,100.0,0.0489,0.1407,239.8459,241.1211,spring-reactor-perf-7697f96cbc-qpxk8,0
actix,1,500,0.43,0.51,0.59,0.00,500.0,0.0290,0.0305,10.3389,11.3945,actix-perf-798cc85858-hcmq9,0
actix,2,500,0.43,0.53,0.60,0.00,500.0,0.0284,0.0304,10.6559,11.4102,actix-perf-798cc85858-q94hr,0
actix,3,500,0.44,0.54,0.61,0.00,500.0,0.0292,0.0308,11.2557,11.9102,actix-perf-798cc85858-z4lms,0
ktor,1,500,0.30,0.38,0.46,0.00,500.0,0.0766,0.1266,185.5068,189.2109,ktor-perf-799b7767dd-6krbl,0
ktor,2,500,0.29,0.37,0.45,0.00,500.0,0.0768,0.1305,184.3413,188.6641,ktor-perf-799b7767dd-4xxbx,0
ktor,3,500,0.30,0.38,7.00,0.00,498.6,0.0792,0.0996,189.5754,201.5391,ktor-perf-799b7767dd-mx7hw,0
quarkus-jvm,1,500,0.25,0.32,0.39,0.00,500.0,0.0387,0.0656,160.4897,161.2617,quarkus-perf-jvm-84dbb885f-k59xr,0
quarkus-jvm,2,500,0.25,0.32,0.40,0.00,500.0,0.0394,0.1040,159.7546,160.9570,quarkus-perf-jvm-84dbb885f-wbn5r,0
quarkus-jvm,3,500,0.25,0.32,0.40,0.00,500.0,0.0397,0.0805,160.6596,163.8750,quarkus-perf-jvm-84dbb885f-mc4x9,0
quarkus-native,1,500,0.30,0.40,0.72,0.00,500.0,0.0633,0.0660,22.9857,35.0039,quarkus-perf-native-7d7d4b66c9-qmkv2,0
quarkus-native,2,500,0.30,0.41,0.75,0.00,500.0,0.0637,0.0676,22.1104,22.9375,quarkus-perf-native-7d7d4b66c9-dbq89,0
quarkus-native,3,500,0.31,0.41,0.78,0.00,500.0,0.0641,0.0672,23.7236,24.7812,quarkus-perf-native-7d7d4b66c9-wn9fk,0
quarkus-reactive-jvm,1,500,0.45,0.59,0.72,0.00,500.0,0.0435,0.0888,146.3245,147.3281,quarkus-reactive-perf-jvm-6d798f48b7-mh4nv,0
quarkus-reactive-jvm,2,500,0.46,0.58,0.72,0.00,500.0,0.0457,0.1405,145.9627,146.5547,quarkus-reactive-perf-jvm-6d798f48b7-r5k2g,0
quarkus-reactive-jvm,3,500,0.46,0.59,0.73,0.00,500.0,0.0448,0.1016,144.4437,145.4727,quarkus-reactive-perf-jvm-6d798f48b7-n4rgp,0
quarkus-reactive-native,1,500,0.53,0.69,0.98,0.00,500.0,0.0772,0.0804,22.3878,23.2930,quarkus-reactive-perf-native-856b76f5d7-k7q6c,0
quarkus-reactive-native,2,500,0.53,0.69,0.99,0.00,500.0,0.0778,0.0814,22.3825,23.4648,quarkus-reactive-perf-native-856b76f5d7-dfcxp,0
quarkus-reactive-native,3,500,0.53,0.68,0.94,0.00,500.0,0.0770,0.0812,20.8509,21.3047,quarkus-reactive-perf-native-856b76f5d7-np8bs,0
spring,1,500,0.35,0.44,0.49,0.00,500.0,0.0677,0.0943,232.9772,233.7148,spring-perf-6957cd5b4d-jghrl,0
spring,2,500,0.35,0.44,0.50,0.00,500.0,0.0689,0.1297,236.8617,237.7578,spring-perf-6957cd5b4d-4sn58,0
spring,3,500,0.35,0.44,0.50,0.00,500.0,0.0686,0.1400,235.3669,236.2109,spring-perf-6957cd5b4d-4bxfp,0
spring-reactor,1,500,0.31,0.40,0.47,0.00,500.0,0.0780,0.2526,276.5856,277.2109,spring-reactor-perf-7697f96cbc-qrqcd,0
spring-reactor,2,500,0.32,0.40,0.48,0.00,500.0,0.0763,0.2360,280.7488,281.9219,spring-reactor-perf-7697f96cbc-h5v8k,0
spring-reactor,3,500,0.32,0.41,0.48,0.00,500.0,0.0767,0.1337,273.9398,274.9492,spring-reactor-perf-7697f96cbc-bgcvx,0
actix,1,1000,0.41,0.49,0.55,0.00,1000.0,0.0475,0.0498,11.9316,12.3281,actix-perf-798cc85858-5w6t5,0
actix,2,1000,0.41,0.49,0.56,0.00,1000.0,0.0472,0.0504,11.9469,12.6914,actix-perf-798cc85858-s5949,0
actix,3,1000,0.41,0.49,0.54,0.00,1000.0,0.0469,0.0498,11.6112,12.7578,actix-perf-798cc85858-vkrjn,0
ktor,1,1000,0.27,0.34,0.41,0.00,1000.0,0.1414,0.2016,224.7513,228.3477,ktor-perf-799b7767dd-j8nj5,0
ktor,2,1000,0.28,41.22,1562.36,0.00,995.9,0.1488,0.3004,248.9059,276.2500,ktor-perf-799b7767dd-x4v8q,0
ktor,3,1000,0.28,0.35,0.42,0.00,1000.0,0.1405,0.1962,252.4414,259.9453,ktor-perf-799b7767dd-nx6vv,0
quarkus-jvm,1,1000,0.22,0.30,0.35,0.00,1000.0,0.0644,0.0743,216.0128,218.6797,quarkus-perf-jvm-84dbb885f-m662b,0
quarkus-jvm,2,1000,0.22,0.30,0.35,0.00,1000.0,0.0670,0.2085,219.9450,221.1406,quarkus-perf-jvm-84dbb885f-7896f,0
quarkus-jvm,3,1000,0.22,0.29,0.35,0.00,1000.0,0.0635,0.0879,227.8269,231.2734,quarkus-perf-jvm-84dbb885f-scs4s,0
quarkus-native,1,1000,0.27,0.38,0.73,0.00,1000.0,0.1163,0.1217,26.7080,27.7109,quarkus-perf-native-7d7d4b66c9-dvf9r,0
quarkus-native,2,1000,0.27,0.38,0.74,0.00,1000.0,0.1172,0.1225,27.5716,32.7500,quarkus-perf-native-7d7d4b66c9-lfh4b,0
quarkus-native,3,1000,0.27,0.39,0.73,0.00,1000.0,0.1166,0.1202,28.0309,36.6758,quarkus-perf-native-7d7d4b66c9-f7tct,0
quarkus-reactive-jvm,1,1000,0.43,0.53,0.65,0.00,1000.0,0.0727,0.1786,170.3717,171.3203,quarkus-reactive-perf-jvm-6d798f48b7-5dzpl,0
quarkus-reactive-jvm,2,1000,0.42,0.53,0.64,0.00,1000.0,0.0700,0.1003,164.6890,165.7930,quarkus-reactive-perf-jvm-6d798f48b7-kmrtz,0
quarkus-reactive-jvm,3,1000,0.43,0.53,0.65,0.00,1000.0,0.0730,0.1617,168.7436,169.5039,quarkus-reactive-perf-jvm-6d798f48b7-ps95j,0
quarkus-reactive-native,1,1000,0.49,0.64,1.03,0.00,1000.0,0.1444,0.1463,22.5941,23.1406,quarkus-reactive-perf-native-856b76f5d7-zrzpj,0
quarkus-reactive-native,2,1000,0.50,0.65,1.04,0.00,1000.0,0.1409,0.1471,22.4456,23.3398,quarkus-reactive-perf-native-856b76f5d7-g5clz,0
quarkus-reactive-native,3,1000,0.50,0.64,1.05,0.00,1000.0,0.1430,0.1482,22.6182,23.1914,quarkus-reactive-perf-native-856b76f5d7-pbvk9,0
spring,1,1000,0.31,0.39,0.45,0.00,1000.0,0.1488,0.6484,323.1882,324.7305,spring-perf-6957cd5b4d-tq85p,0
