framework,conns,run,p50_ms,p95_ms,p99_ms,err_pct,mean_conn_ms,max_conn_ms,measured_reqs,achieved_rps,max_vus,est_conns_host,cpu_avg_cores,cpu_max_cores,mem_avg_mib,mem_max_mib,pod,k6_exit
actix,0,1,0,0,0,0,0,0,0,0,0,0,0.0096,0.0098,4.1546,5.0938,actix-perf-798cc85858-57cvx,0
actix,0,2,0,0,0,0,0,0,0,0,0,0,0.0095,0.0098,3.8421,4.6328,actix-perf-798cc85858-p9k6t,0
actix,0,3,0,0,0,0,0,0,0,0,0,0,0.0097,0.0097,4.043,5.5078,actix-perf-798cc85858-dnvxb,0
ktor,0,1,0,0,0,0,0,0,0,0,0,0,0.0022,0.0027,131.6765,133.1602,ktor-perf-799b7767dd-z8s5t,0
ktor,0,2,0,0,0,0,0,0,0,0,0,0,0.0015,0.0018,126.6051,128.7969,ktor-perf-799b7767dd-652f5,0
ktor,0,3,0,0,0,0,0,0,0,0,0,0,0.0023,0.0027,128.1266,129.7695,ktor-perf-799b7767dd-bhjnv,0
quarkus-jvm,0,1,0,0,0,0,0,0,0,0,0,0,0.0009,0.001,113.2168,114,quarkus-perf-jvm-84dbb885f-bljzm,0
quarkus-jvm,0,2,0,0,0,0,0,0,0,0,0,0,0.0009,0.0011,112.2372,112.9336,quarkus-perf-jvm-84dbb885f-qx7v4,0
quarkus-jvm,0,3,0,0,0,0,0,0,0,0,0,0,0.0009,0.0011,118.1526,118.9727,quarkus-perf-jvm-84dbb885f-bnjsb,0
quarkus-native,0,1,0,0,0,0,0,0,0,0,0,0,0.0001,0.0002,18.3121,19.4375,quarkus-perf-native-7d7d4b66c9-tt9rd,0
quarkus-native,0,2,0,0,0,0,0,0,0,0,0,0,0.0001,0.0002,18.2132,19.3211,quarkus-perf-native-7d7d4b66c9-27nnp,0
quarkus-native,0,3,0,0,0,0,0,0,0,0,0,0,0.0001,0.0002,20.5711,22.4375,quarkus-perf-native-7d7d4b66c9-j8l6t,0
quarkus-reactive-jvm,0,1,0,0,0,0,0,0,0,0,0,0,0.0012,0.0022,116.1744,117.3477,quarkus-reactive-perf-jvm-6d798f48b7-cq99r,0
quarkus-reactive-jvm,0,2,0,0,0,0,0,0,0,0,0,0,0.0013,0.0023,112.1744,116.1241,quarkus-reactive-perf-jvm-6d798f48b7-ctb5r,0
quarkus-reactive-jvm,0,3,0,0,0,0,0,0,0,0,0,0,0.0012,0.0021,118.1744,121.761,quarkus-reactive-perf-jvm-6d798f48b7-jjhbl,0
quarkus-reactive-native,0,1,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,23.2897,22.1875,quarkus-reactive-perf-native-856b76f5d7-d9q7w,0
quarkus-reactive-native,0,2,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,21.1212,21.9871,quarkus-reactive-perf-native-856b76f5d7-98rkp,0
quarkus-reactive-native,0,3,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,19.6751,20.111,quarkus-reactive-perf-native-856b76f5d7-ctcdt,0
spring,0,1,0,0,0,0,0,0,0,0,0,0,0.002,0.0028,173.1995,173.6289,spring-perf-6957cd5b4d-g64sr,0
spring,0,2,0,0,0,0,0,0,0,0,0,0,0.0019,0.0032,172.0374,173.0859,spring-perf-6957cd5b4d-t4t6j,0
spring,0,3,0,0,0,0,0,0,0,0,0,0,0.002,0.0034,169.2637,170.5156,spring-perf-6957cd5b4d-smpxn,0
spring-reactor,0,1,0,0,0,0,0,0,0,0,0,0,0.0018,0.0025,176.2096,177.2773,spring-reactor-perf-7697f96cbc-ndtbc,0
spring-reactor,0,2,0,0,0,0,0,0,0,0,0,0,0.0017,0.0027,176.0361,176.957,spring-reactor-perf-7697f96cbc-dp85c,0
spring-reactor,0,3,0,0,0,0,0,0,0,0,0,0,0.0019,0.0027,177.4386,179.2461,spring-reactor-perf-7697f96cbc-72w54,0
actix,100,1,0.079,0.166,0.215,0,0,0,9000,50,100,100,0.0105,0.0107,7.5781,9.4141,actix-perf-798cc85858-9mmkj,0
actix,100,2,0.09,0.176,0.23,0,0,0,9000,50,100,100,0.0104,0.0108,7.5007,8.2383,actix-perf-798cc85858-dq4zw,0
actix,100,3,0.076,0.146,0.182,0,0,0,9000,50,100,100,0.0102,0.0106,7.4805,9.2109,actix-perf-798cc85858-9lj88,0
ktor,100,1,0.167,0.351,0.453,0,0,0,8995,49.97,100,101,0.0127,0.0222,152.2535,156.0078,ktor-perf-799b7767dd-v9lkt,0
ktor,100,2,0.494,1.994,3.547,0,0,0,9000,50,100,101,0.0122,0.0175,150.7209,156.7188,ktor-perf-799b7767dd-4grgl,0
ktor,100,3,0.158,0.302,0.414,0,0,0,8995,49.97,100,101,0.0138,0.0284,149.8096,154.0195,ktor-perf-799b7767dd-48vxv,0
quarkus-jvm,100,1,0.094,0.159,0.216,0,0,0,9000,50,100,101,0.0069,0.0236,119.4408,120.6602,quarkus-perf-jvm-84dbb885f-ckpnj,0
quarkus-jvm,100,2,0.093,0.156,0.212,0,0,0,9000,50,100,101,0.0065,0.0205,129.9762,130.8125,quarkus-perf-jvm-84dbb885f-s5tmj,0
quarkus-jvm,100,3,0.091,0.163,0.217,0,0,0,8997,49.98,100,101,0.0081,0.0242,120.4588,121.4727,quarkus-perf-jvm-84dbb885f-hh8pk,0
quarkus-native,100,1,0.13,0.305,0.361,0,0,0,8995,49.97,100,101,0.0029,0.0038,58.8835,61.1562,quarkus-perf-native-7d7d4b66c9-6kbqk,0
